"Time of installation";"Operation type";"Package type";"Package name";"Package version";"Package publisher";"Package program";"Device name"
"10.03.2020 11:33:59";"installation";"program";"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.24.28127";"14.24.28127";"Microsoft Corporation";"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.24.28127";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.24.28127";"14.24.28127";"Microsoft Corporation";"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.24.28127";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Visual Studio Enterprise 2019";"16.4.29806.167";"Microsoft Corporation";"Visual Studio Enterprise 2019";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Python 3.7.5 Executables (64-bit symbols)";"3.7.5150.0";"Python Software Foundation";"Python 3.7.5 Executables (64-bit symbols)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft TestPlatform SDK Local Feed";"16.0.0.3069091";"Microsoft";"Microsoft TestPlatform SDK Local Feed";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Core AppHost Pack - 3.1.1 (x64_x86)";"24.68.28408";"Microsoft Corporation";"Microsoft .NET Core AppHost Pack - 3.1.1 (x64_x86)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Core 2.1 Templates 3.1.101 (x64)";"2.1.14.014848";"Microsoft Corporation";"Microsoft .NET Core 2.1 Templates 3.1.101 (x64)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft Web Deploy 4.0";"10.0.2606";"Microsoft Corporation";"Microsoft Web Deploy 4.0";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Framework 4.7.2 Targeting Pack";"4.7.03062";"Microsoft Corporation";"Microsoft .NET Framework 4.7.2 Targeting Pack";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Python 3.7.5 Core Interpreter (64-bit symbols)";"3.7.5150.0";"Python Software Foundation";"Python 3.7.5 Core Interpreter (64-bit symbols)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Core AppHost Pack - 3.1.1 (x64_arm64)";"24.68.28408";"Microsoft Corporation";"Microsoft .NET Core AppHost Pack - 3.1.1 (x64_arm64)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)";"24.0.28113";"Microsoft Corporation";"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Core Runtime - 3.1.1 (x86)";"24.68.28408";"Microsoft Corporation";"Microsoft .NET Core Runtime - 3.1.1 (x86)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"ClickOnce Bootstrapper Package for Microsoft .NET Framework";"4.8.03928";"Microsoft Corporation";"ClickOnce Bootstrapper Package for Microsoft .NET Framework";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"vs_minshellmsi";"16.4.29709";"Microsoft Corporation";"vs_minshellmsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Core 3.1 Templates 3.1.101 (x64)";"3.1.1.014848";"Microsoft Corporation";"Microsoft .NET Core 3.1 Templates 3.1.101 (x64)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"icecap_collection_x64";"16.4.29430";"Microsoft Corporation";"icecap_collection_x64";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Python 3.7.5 Development Libraries (64-bit)";"3.7.5150.0";"Python Software Foundation";"Python 3.7.5 Development Libraries (64-bit)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Python 3.7.5 Standard Library (64-bit)";"3.7.5150.0";"Python Software Foundation";"Python 3.7.5 Standard Library (64-bit)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Python 3.7.5 Tcl/Tk Support (64-bit symbols)";"3.7.5150.0";"Python Software Foundation";"Python 3.7.5 Tcl/Tk Support (64-bit symbols)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"vs_minshellinteropmsi";"16.2.28917";"Microsoft Corporation";"vs_minshellinteropmsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft ASP.NET Core 3.1.1 Shared Framework (x86)";"3.1.1.0";"Microsoft Corporation";"Microsoft ASP.NET Core 3.1.1 Shared Framework (x86)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"TypeScript SDK";"3.7.4.0";"Microsoft Corporation";"TypeScript SDK";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)";"4.7.03062";"Microsoft Corporation";"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"vcpp_crt.redist.clickonce";"14.24.28127";"Microsoft Corporation";"vcpp_crt.redist.clickonce";"NYC-BXII-L1031"
