Time	Type	Device name	Error code	Error label
08.03.2020 11:48:14	hard reset	NYC-GSO-L475	0x0	-
08.03.2020 11:38:08	hard reset	MUM-PEQG-L086	0x0	-
08.03.2020 11:03:10	hard reset	NYC-PEQG-L681	0x0	-
08.03.2020 10:34:43	hard reset	NYC-BAAM-L871	0x0	-
08.03.2020 10:24:26	hard reset	NYC-BXII-L714	0x0	-
08.03.2020 09:41:27	hard reset	GUR-FING-L250	0x0	-
08.03.2020 09:35:24	hard reset	NYC-REAL-L780	0x0	-
08.03.2020 08:46:53	hard reset	NYC-GSO-L250	0x0	-
08.03.2020 08:24:38	hard reset	NYC-BXII-L304	0x0	-
08.03.2020 07:55:30	hard reset	HKG-PEQG-L125	0x0	-
08.03.2020 06:41:34	hard reset	NYC-REAL-L900	0x0	-
08.03.2020 06:33:21	hard reset	GUR-FING-L263	0x0	-
08.03.2020 06:08:31	hard reset	HKG-PEQG-L116	0x0	-
08.03.2020 06:03:03	hard reset	NYC-GSO-L350	0x0	-
08.03.2020 05:56:21	hard reset	GUR-FING-L240	0x0	-
08.03.2020 04:56:29	hard reset	LDN-GSO-L056	0x0	-
08.03.2020 04:32:41	hard reset	GUR-COE-FLOORUN	0x0	-
08.03.2020 03:26:21	hard reset	SHG-REAL-L001	0x0	-
08.03.2020 00:56:37	hard reset	GUR-COE-FLOORUN	0x0	-
07.03.2020 23:40:25	hard reset	GUR-COE-FLOORUN	0x0	-
07.03.2020 23:29:00	hard reset	GUR-BXII-L540	0x0	-
07.03.2020 22:01:23	hard reset	MUM-REAL-L079	0x0	-
07.03.2020 20:09:43	hard reset	NYC-REAL-L741	0x0	-
07.03.2020 20:08:18	hard reset	NYC-GSO-L454	0x0	-
07.03.2020 17:28:37	hard reset	NYC-FING-L569	0x0	-
07.03.2020 16:55:04	hard reset	NYC-CONF-W214	0x0	-
07.03.2020 16:48:13	hard reset	NYC-CONF-W165	0x0	-
07.03.2020 16:45:58	hard reset	NYC-BAAM-W028	0x0	-
07.03.2020 16:44:23	hard reset	NYC-BAAM-W1038	0x0	-
07.03.2020 16:00:16	hard reset	LDN-REAL-L626	0x0	-
07.03.2020 15:23:59	hard reset	NYC-FING-L538	0x0	-
07.03.2020 15:10:28	hard reset	NYC-INFR-L019	0x0	-
07.03.2020 12:12:58	hard reset	NYC-BAAM-L871	0x0	-
07.03.2020 12:12:54	hard reset	NYC-GSO-L187	0x0	-
07.03.2020 12:00:19	hard reset	NYC-FING-L400	0x0	-
07.03.2020 11:42:30	hard reset	NYC-BAAM-L871	0x0	-
07.03.2020 11:02:29	hard reset	NYC-BXII-L581	0x0	-
07.03.2020 10:41:30	hard reset	NYC-PWM-L076	0x0	-
07.03.2020 10:18:26	hard reset	NYC-PEQG-L681	0x0	-
07.03.2020 09:55:59	hard reset	NYC-PEQG-L693	0x0	-
07.03.2020 09:23:21	hard reset	LDN-PEQG-L158	0x0	-
07.03.2020 09:22:09	hard reset	LDN-ERSG-L007	0x0	-
07.03.2020 09:03:46	hard reset	MUM-REAL-L079	0x0	-
07.03.2020 09:03:14	hard reset	MUM-GCS-L013	0x0	-
07.03.2020 08:25:46	hard reset	NYC-GSO-L168	0x0	-
07.03.2020 06:53:18	hard reset	NYC-FING-L385	0x0	-
07.03.2020 06:25:49	hard reset	MUM-PEQG-L081	0x0	-
07.03.2020 06:10:35	hard reset	MUM-REAL-L110	0x0	-
07.03.2020 05:06:11	hard reset	LDN-REAL-L474	0x0	-
07.03.2020 03:53:56	hard reset	LDN-PORT-L004	0x0	-
07.03.2020 03:32:43	hard reset	MUM-REAL-L079	0x0	-
07.03.2020 03:06:27	hard reset	GUR-FING-L168	0x0	-
07.03.2020 02:46:08	hard reset	NYC-BXII-L272	0x0	-
06.03.2020 22:09:01	hard reset	NYC-GSO-L231	0x0	-
06.03.2020 21:44:12	hard reset	NYC-BXII-L371	0x0	-
06.03.2020 21:35:43	hard reset	HKG-REAL-L143	0x0	-
06.03.2020 20:35:08	hard reset	TOK-LOAN-L031	0x0	-
06.03.2020 20:04:52	hard reset	HKG-REAL-L185	0x0	-
06.03.2020 18:59:12	hard reset	NYC-TACT-L149	0x0	-
06.03.2020 18:38:29	hard reset	NYC-FING-L518	0x0	-
06.03.2020 18:28:15	hard reset	NYC-COMP-L144	0x0	-
06.03.2020 17:57:51	hard reset	NYC-REAL-L741	0x0	-
06.03.2020 17:54:23	hard reset	NYC-BXII-L876	0x0	-
